date,team,o:team,site,field goals attempted,field goals made,field goal %,free throws attempted,free throws made,free throw %,three pointers attempted,three pointers made,three point %,assists,blocks,rebounds,steals,turnovers,line,margin,ats outcome,total,ou margin,ou outcome,streak
20191028,Hawks,Seventysixers,home,84,36,42.857142857142854,32,22,68.75,27,9,33.33333333333333,23,3,45,12,21,4.5,-2,0,221.0,-13.0,U,2
20191028,Seventysixers,Hawks,away,88,37,42.04545454545455,25,20,80.0,41,11,26.82926829268293,22,11,49,12,21,-4.5,2,1,221.0,-13.0,U,2
20191028,Kings,Nuggets,home,91,36,39.56043956043956,16,10,62.5,37,12,32.432432432432435,25,8,48,6,12,6.0,-7,0,217.5,-22.5,U,-3
20191028,Nuggets,Kings,away,98,36,36.734693877551024,21,19,90.47619047619048,36,10,27.77777777777778,19,5,54,8,10,-6.0,7,1,217.5,-22.5,U,2
20191028,Knicks,Bulls,home,91,38,41.75824175824176,32,20,62.5,29,9,31.03448275862069,19,6,63,3,17,1.0,7,1,222.0,-19.0,U,-3
20191028,Bulls,Knicks,away,85,36,42.35294117647059,21,17,80.95238095238095,35,9,25.71428571428571,19,5,38,6,9,-1.0,-7,0,222.0,-19.0,U,-1
20191028,Pelicans,Warriors,home,103,48,46.601941747572816,22,12,54.54545454545454,47,15,31.914893617021278,36,7,41,13,15,-3.5,-11,0,237.0,20.0,O,-3
20191028,Warriors,Pelicans,away,104,51,49.03846153846153,24,18,75.0,35,14,40.0,37,2,61,8,18,3.5,11,1,237.0,20.0,O,-2
20191028,Pistons,Pacers,home,81,37,45.67901234567901,10,9,90.0,24,13,54.166666666666664,21,3,48,2,20,1.0,2,1,212.5,-22.5,U,-2
20191028,Pacers,Pistons,away,94,39,41.48936170212766,13,10,76.92307692307693,21,6,28.57142857142857,24,4,45,11,7,-1.0,-2,0,212.5,-22.5,U,-2
20191028,Raptors,Magic,home,85,33,38.82352941176471,30,28,93.33333333333333,39,10,25.64102564102564,19,2,52,9,16,-5.0,9,1,209.0,-10.0,U,1
20191028,Magic,Raptors,away,89,34,38.20224719101123,18,15,83.33333333333334,39,12,30.76923076923077,22,6,47,9,16,5.0,-9,0,209.0,-10.0,U,-1
20191028,Rockets,Thunder,home,90,39,43.333333333333336,33,28,84.84848484848484,44,10,22.727272727272727,21,6,40,6,14,-10.0,4,1,227.5,0.5,O,1
20191028,Thunder,Rockets,away,94,41,43.61702127659575,24,17,70.83333333333334,35,13,37.142857142857146,22,3,52,7,13,10.0,-4,0,227.5,0.5,O,1
20191028,Spurs,Trailblazers,home,85,41,48.23529411764706,32,24,75.0,22,7,31.818181818181817,25,9,50,5,18,-4.5,3,1,222.5,0.5,O,2
20191028,Trailblazers,Spurs,away,100,39,39.0,27,22,81.48148148148148,33,10,30.303030303030305,19,9,49,4,10,4.5,-3,0,222.5,0.5,O,2
20191028,Suns,Jazz,home,80,33,41.25,23,16,69.56521739130434,34,13,38.23529411764706,23,3,40,7,16,4.5,-1,0,213.5,-22.5,U,1
20191028,Jazz,Suns,away,71,27,38.028169014084504,39,32,82.05128205128204,31,10,32.25806451612903,19,5,49,8,23,-4.5,1,1,213.5,-22.5,U,1
20191029,Heat,Hawks,home,73,33,45.20547945205479,45,33,73.33333333333333,31,13,41.935483870967744,19,6,49,11,26,-8.0,15,1,223.5,-14.5,U,-1
20191029,Hawks,Heat,away,83,35,42.168674698795186,24,16,66.66666666666666,39,11,28.205128205128204,28,7,33,14,20,8.0,-15,0,223.5,-14.5,U,-1
20191029,Lakers,Grizzlies,home,86,40,46.51162790697674,39,33,84.61538461538461,26,7,26.923076923076923,25,8,54,9,18,-12.0,29,1,217.5,-6.5,U,2
20191029,Grizzlies,Lakers,away,95,31,32.631578947368425,23,22,95.65217391304348,34,7,20.588235294117645,20,3,46,10,21,12.0,-29,0,217.5,-6.5,U,1
20191029,Nuggets,Mavericks,home,91,43,47.25274725274725,13,9,69.23076923076923,32,11,34.375,24,1,50,6,10,-5.5,-3,1,215.0,0.0,P,3
20191029,Mavericks,Nuggets,away,84,41,48.80952380952381,24,14,58.333333333333336,37,13,35.13513513513514,29,5,42,6,8,5.5,3,0,215.0,0.0,P,-1
20191030,Cavaliers,Bulls,home,78,41,52.56410256410257,31,25,80.64516129032258,24,10,41.66666666666667,25,7,47,3,17,1.0,6,1,217.0,11.0,O,-1
20191030,Bulls,Cavaliers,away,90,39,43.333333333333336,23,19,82.6086956521739,39,14,35.8974358974359,25,5,32,6,6,-1.0,-6,0,217.0,11.0,O,-2
20191030,Celtics,Bucks,home,92,41,44.565217391304344,21,17,80.95238095238095,41,17,41.46341463414634,25,4,45,4,9,2.5,11,1,222.5,-1.5,U,2
20191030,Bucks,Celtics,away,82,38,46.34146341463415,24,15,62.5,45,14,31.11111111111111,21,4,45,3,15,-2.5,-11,0,222.5,-1.5,U,1
