date,team,o:team,site,field goals attempted,field goals made,field goal %,free throws attempted,free throws made,free throw %,three pointers attempted,three pointers made,three point %,assists,blocks,rebounds,steals,turnovers,line,margin,ats outcome,total,ou margin,ou outcome,streak
20191028,Spurs,Trailblazers,home,95.5,46.0,48.449352967425256,26.5,21.5,81.45424836601308,24.5,8.5,34.52380952380952,25.5,6.0,52.0,6.0,15.0,-4.5,3,1,222.5,0.5,O,2
20191028,Thunder,Rockets,away,81.66666666666667,36.333333333333336,44.66981851456459,25.0,17.333333333333332,69.55034213098729,27.333333333333332,10.0,35.21705582393988,17.666666666666668,5.0,49.0,6.666666666666667,17.666666666666668,10.0,-4,0,227.5,0.5,O,1
20191028,Clippers,Hornets,home,82.66666666666667,44.0,53.44295444870156,31.0,23.666666666666668,75.66239316239317,31.666666666666668,13.333333333333334,42.03629032258065,25.666666666666668,4.666666666666667,41.666666666666664,7.666666666666667,14.333333333333334,-15.5,15,1,225.5,-18.5,U,-1
20191028,Jazz,Suns,away,79.33333333333333,37.666666666666664,47.42775742775743,17.666666666666668,13.666666666666666,74.52380952380953,28.666666666666668,10.666666666666666,35.21621621621622,20.666666666666668,2.6666666666666665,44.0,6.0,18.0,-4.5,1,1,213.5,-22.5,U,1
20191028,Seventysixers,Hawks,away,86.0,39.5,45.902636916835704,33.0,23.0,69.44444444444443,31.5,10.0,31.18661257606491,27.0,5.0,50.0,10.0,18.5,-4.5,2,1,221.0,-13.0,U,2
20191028,Nuggets,Kings,away,86.5,35.0,40.552871712291996,31.5,25.5,81.01851851851852,29.5,12.5,41.08796296296296,22.5,8.0,45.0,9.0,16.5,-6.0,7,1,217.5,-22.5,U,2
20191028,Pacers,Pistons,away,88.0,40.0,45.44750096861682,18.5,15.5,83.97435897435898,24.5,9.0,36.904761904761905,24.5,4.5,36.0,8.0,16.0,-1.0,-2,0,212.5,-22.5,U,-2
20191028,Hornets,Clippers,away,87.66666666666667,39.0,44.54850704850704,21.666666666666668,15.666666666666666,74.18478260869564,36.0,15.0,40.74115539632781,24.333333333333332,4.666666666666667,42.666666666666664,5.333333333333333,17.333333333333332,15.5,-15,0,225.5,-18.5,U,-2
20191028,Suns,Jazz,home,90.0,42.0,46.51162790697674,28.0,24.333333333333332,86.54003267973856,34.666666666666664,12.0,33.81321520856404,29.333333333333332,4.333333333333333,49.0,9.0,15.666666666666666,4.5,-1,0,213.5,-22.5,U,1
20191028,Raptors,Magic,home,87.66666666666667,39.0,44.85135329321926,24.333333333333332,21.0,87.00263731223482,39.333333333333336,15.666666666666666,40.23809523809524,24.0,7.0,54.0,6.0,20.333333333333332,-5.0,9,1,209.0,-10.0,U,1
20191028,Cavaliers,Bucks,away,84.5,36.5,43.53932584269663,22.0,14.5,66.0919540229885,32.5,10.0,30.97722960151803,21.5,4.5,49.0,8.5,17.0,15.5,-17,0,224.0,17.0,O,1
20191029,Hawks,Heat,away,84.66666666666667,41.0,48.40346991509782,22.666666666666668,16.0,69.26587301587301,29.333333333333332,9.666666666666666,32.93906810035842,24.0,4.666666666666667,46.333333333333336,8.666666666666666,17.333333333333332,8.0,-15,0,223.5,-14.5,U,-1
20191029,Mavericks,Nuggets,away,87.66666666666667,39.0,44.600476826933495,33.333333333333336,26.0,77.64796179430327,42.0,12.666666666666666,30.51851851851852,22.333333333333332,5.0,47.0,7.0,13.666666666666666,5.5,3,0,215.0,0.0,P,-1
20191029,Heat,Hawks,home,90.33333333333333,42.666666666666664,47.338380896913215,30.0,22.0,71.72364672364672,32.666666666666664,12.666666666666666,38.97306397306398,25.333333333333332,6.666666666666667,48.666666666666664,7.666666666666667,19.333333333333332,-8.0,15,1,223.5,-14.5,U,-1
20191029,Lakers,Grizzlies,home,88.0,40.0,45.250822509548954,19.666666666666668,15.0,76.38888888888887,30.0,10.666666666666666,35.2156803769707,23.0,8.0,43.333333333333336,8.333333333333334,13.666666666666666,-12.0,29,1,217.5,-6.5,U,2
20191029,Grizzlies,Lakers,away,95.33333333333333,42.333333333333336,44.243226745333054,25.0,18.0,72.22222222222221,31.333333333333332,9.666666666666666,30.844000348310697,26.333333333333332,7.666666666666667,48.333333333333336,8.666666666666666,18.0,12.0,-29,0,217.5,-6.5,U,1
20191029,Nuggets,Mavericks,home,90.33333333333333,35.333333333333336,39.280145767378336,28.0,23.333333333333332,84.17107583774252,31.666666666666668,11.666666666666666,36.651234567901234,21.333333333333332,7.0,48.0,8.666666666666666,14.333333333333334,-5.5,-3,1,215.0,0.0,P,3
20191030,Nets,Pacers,home,93.33333333333333,43.0,46.175002115596165,32.333333333333336,22.666666666666668,68.8068158656394,38.666666666666664,15.333333333333334,40.231407878466705,22.666666666666668,5.333333333333333,49.0,8.333333333333334,19.666666666666668,-3.0,-10,0,220.5,5.5,O,-1
20191030,Celtics,Bucks,home,97.33333333333333,39.0,40.12002236033013,26.333333333333332,18.0,72.69692359702502,35.0,11.666666666666666,32.57298969750831,21.0,5.666666666666667,47.333333333333336,10.0,10.333333333333334,2.5,11,1,222.5,-1.5,U,2
20191030,Warriors,Suns,home,98.33333333333333,40.0,40.34703219485828,28.333333333333332,24.666666666666668,86.25448028673834,36.666666666666664,11.333333333333334,30.28860028860029,27.0,1.6666666666666667,47.666666666666664,9.0,15.0,-5.0,-11,0,230.5,0.5,O,1
20191030,Wizards,Rockets,home,95.0,41.0,43.15493867136525,15.0,11.666666666666666,77.97385620915033,38.666666666666664,12.666666666666666,33.57245337159254,25.666666666666668,5.666666666666667,45.0,6.0,14.666666666666666,8.0,-1,0,234.0,83.0,O,-1
20191030,Cavaliers,Bulls,home,89.66666666666667,39.333333333333336,44.02621722846442,18.666666666666668,13.0,71.83908045977012,34.666666666666664,10.666666666666666,30.907896657422274,20.666666666666668,4.0,48.666666666666664,6.333333333333333,15.0,1.0,6,1,217.0,11.0,O,-1
20191030,Bucks,Celtics,away,95.0,45.0,47.41852692824016,25.666666666666668,17.333333333333332,64.60317460317461,46.0,16.666666666666668,37.00031076079893,27.333333333333332,7.0,50.0,8.0,13.666666666666666,-2.5,-11,0,222.5,-1.5,U,1
20191030,Magic,Knicks,home,91.33333333333333,35.333333333333336,38.85967945283337,21.0,16.666666666666668,77.84525416104364,33.333333333333336,8.666666666666666,25.632754342431763,20.333333333333332,5.666666666666667,46.333333333333336,9.666666666666666,13.0,-9.5,12,1,207.5,-29.5,U,-2
20191030,Pistons,Raptors,away,80.0,38.5,48.34173847976738,25.25,19.0,79.50757575757575,26.0,10.5,42.283072546230436,21.75,5.25,41.75,6.0,18.5,9.0,-12,0,212.0,26.0,O,1
20191030,Clippers,Jazz,away,82.75,43.0,52.13040860761051,28.5,22.5,79.3658424908425,32.0,13.0,40.618126832844574,25.0,5.5,42.25,8.5,16.0,6.0,-14,0,215.0,-9.0,U,1
20191030,Rockets,Wizards,away,91.33333333333333,38.333333333333336,41.91489361702128,34.0,28.0,83.06915306915307,45.666666666666664,13.0,28.316498316498315,24.333333333333332,5.333333333333333,47.333333333333336,6.333333333333333,15.666666666666666,-8.0,1,1,234.0,83.0,O,2
20191030,Kings,Hornets,home,86.5,34.25,39.55166799994386,21.5,16.0,73.8556854365678,32.25,11.0,33.594702129184896,18.75,4.5,42.25,6.5,18.0,-7.0,-7,0,223.5,5.5,O,-4
20191030,Knicks,Magic,away,86.5,37.75,43.5575831608633,28.0,18.75,67.08391690009336,27.75,10.75,39.573435504469984,18.75,3.75,49.0,10.0,20.5,9.5,-12,0,207.5,-29.5,U,1
20191030,Timberwolves,Seventysixers,away,96.66666666666667,42.666666666666664,44.23416090082757,30.666666666666668,23.333333333333332,76.17418423870036,42.0,12.666666666666666,30.233464798948273,25.666666666666668,3.6666666666666665,50.0,10.666666666666666,14.666666666666666,7.0,-22,0,222.5,-10.5,U,3
20191030,Trailblazers,Thunder,away,89.75,41.5,46.5552738336714,24.5,21.0,85.94121257164734,28.25,9.25,33.21969696969697,17.0,5.5,46.25,6.75,15.5,-2.0,3,1,221.5,-20.5,U,-1
20191030,Pacers,Nets,away,90.0,39.666666666666664,44.12812121312044,16.666666666666668,13.666666666666666,81.62393162393163,23.333333333333332,8.0,34.12698412698413,24.333333333333332,4.333333333333333,39.0,9.0,13.0,3.0,10,1,220.5,5.5,O,-3
20191030,Jazz,Clippers,home,77.25,35.0,45.07786032433919,23.0,18.25,76.40567765567766,29.25,10.5,34.47667829119442,20.25,3.25,45.25,6.5,19.25,-6.0,14,1,215.0,-9.0,U,2
20191030,Suns,Warriors,away,87.5,39.75,45.196220930232556,26.75,22.25,82.29632885763002,34.5,12.25,34.91873493583479,27.75,4.0,46.75,8.5,15.75,5.0,11,1,230.5,0.5,O,-1
